"","activity","subject","tBodyAccmeanX","tBodyAccmeanY","tBodyAccmeanZ","tBodyAccstdX","tBodyAccstdY","tBodyAccstdZ","tGravityAccmeanX","tGravityAccmeanY","tGravityAccmeanZ","tGravityAccstdX","tGravityAccstdY","tGravityAccstdZ","tBodyAccJerkmeanX","tBodyAccJerkmeanY","tBodyAccJerkmeanZ","tBodyAccJerkstdX","tBodyAccJerkstdY","tBodyAccJerkstdZ","tBodyGyromeanX","tBodyGyromeanY","tBodyGyromeanZ","tBodyGyrostdX","tBodyGyrostdY","tBodyGyrostdZ","tBodyGyroJerkmeanX","tBodyGyroJerkmeanY","tBodyGyroJerkmeanZ","tBodyGyroJerkstdX","tBodyGyroJerkstdY","tBodyGyroJerkstdZ","tBodyAccMagmean","tBodyAccMagstd","tGravityAccMagmean","tGravityAccMagstd","tBodyAccJerkMagmean","tBodyAccJerkMagstd","tBodyGyroMagmean","tBodyGyroMagstd","tBodyGyroJerkMagmean","tBodyGyroJerkMagstd","fBodyAccmeanX","fBodyAccmeanY","fBodyAccmeanZ","fBodyAccstdX","fBodyAccstdY","fBodyAccstdZ","fBodyAccJerkmeanX","fBodyAccJerkmeanY","fBodyAccJerkmeanZ","fBodyAccJerkstdX","fBodyAccJerkstdY","fBodyAccJerkstdZ","fBodyGyromeanX","fBodyGyromeanY","fBodyGyromeanZ","fBodyGyrostdX","fBodyGyrostdY","fBodyGyrostdZ","fBodyAccMagmean","fBodyAccMagstd","fBodyBodyAccJerkMagmean","fBodyBodyAccJerkMagstd","fBodyBodyGyroMagmean","fBodyBodyGyroMagstd","fBodyBodyGyroJerkMagmean","fBodyBodyGyroJerkMagstd"
"1","LAYING",1,11.079912197,-2.02569767147,-5.660177679,-46.40282346,-41.841370281,-41.3030700814,-12.444089914,35.277488673,22.29088599,-44.84150092,-45.386000338,-42.618314511,4.05432671,0.19191020044,0.54171181805,-47.9241056,-46.20746368,-47.74275554,-0.8276546989,-3.2243062044,7.434471813,-43.677193391,-47.55452201,-45.41423313,-5.3635474596,-2.0758643445,-3.702506055,-45.93042604,-48.39536218,-47.88950798,-42.096457625,-39.757243193,-42.096457625,-39.757243193,-47.71981323,-46.41228142,-43.7379774,-40.950508488,-48.1730515,-46.79204914,-46.95495262,-43.353260259,-44.13334381,-46.22187173,-41.681277805,-40.644577972,-47.85369419,-46.12313049,-47.40304521,-48.20803543,-46.61089352,-48.02934936,-42.5124587293,-47.60957474,-45.46513605,-44.11482254,-47.56160247,-45.82912541,-43.088382405,-39.91504702,-46.66501804,-46.09019878,-43.10950927,-41.215971984,-47.11834733,-46.63303338
"2","LAYING",2,13.50592339,-0.8716195084,-5.1477893,-46.75485431,-47.05331514,-47.24319825,-24.46820343,36.12175869,31.04807422,-46.03269319,-47.43416953,-47.24306007,3.964668056,0.58822984569,-0.0865271499,-47.3218641,-47.19228198,-47.44521669,-0.886877124,-5.36643958,6.954376613,-47.43721118,-47.14999723,-46.0947149,-4.894758442,-1.7212328452,-3.3685585,-47.67532076,-47.49924182,-47.42571942,-46.91690329,-46.69794782,-46.91690329,-46.69794782,-47.41160141,-47.30486766,-45.60055534,-46.13587459,-47.60481956,-47.50646857,-46.88280287,-47.03044214,-47.25028713,-46.71583114,-47.08920507,-47.27002488,-47.31905428,-47.17287602,-47.33746246,-47.38801228,-47.27939486,-47.48857769,-47.34869484,-47.1994385,-46.2082506,-47.46531292,-47.13170959,-46.23236267,-46.80528943,-46.80582662,-47.29795751,-47.25928748,-46.66142269,-46.13272218,-47.53193771,-47.4956477
"3","LAYING",3,17.08204487,-1.1752520673,-6.2806296054,-60.93215163,-59.64756776,-59.74884416,-14.98902564,51.89599018,30.29959748,-60.91575597,-60.83457048,-59.81806772,4.77282898,0.8558542701,-0.2700880421005,-60.81451752,-60.06006493,-60.8897761,-1.29065735005,-4.4547443885,8.555972789,-60.42183663,-60.59090453,-59.73734776,-6.202758928,-2.416584945,-4.26149994,-60.78037599,-61.17929,-60.96697333,-60.31306346,-59.78152694,-60.31306346,-59.78152694,-60.72804479,-60.51952047,-58.99701459,-59.16505688,-61.17624476,-60.95463385,-60.80126776,-59.59253894,-60.03659278,-60.98885,-59.77386546,-59.72330297,-60.79181854,-60.06263105,-60.70558535,-60.95360219,-60.20472879,-60.99013809,-60.1503703,-60.6421803,-59.66520157,-60.51115889,-60.57601472,-59.96992496,-59.86250506,-60.03771348,-60.50887507,-60.46893343,-59.80437694,-59.23739506,-61.02525158,-60.9192258
"4","LAYING",4,14.232197609,-0.8101719417,-5.977160117,-51.5264619,-50.85255829,-51.984035,-22.71589176,49.41891563,18.44269077,-49.74479816,-52.37009833,-52.71353688,5.046268776,0.374389135543,-0.34616933752,-52.82835018,-50.87931237,-52.83964715,-0.4985044275,-5.0226921761,9.164901821,-52.5475308,-51.89990176,-51.95198277,-5.671073395,-2.058644334,-3.845643957,-52.65557303,-53.29020401,-53.13412943,-51.54611057,-50.289779697,-51.54611057,-50.289779697,-52.38517167,-51.88246726,-50.23276898,-51.13971621,-53.19369911,-53.06570354,-51.77531219,-50.69970222,-52.24523106,-51.4331036,-51.10457244,-51.95634053,-52.8412927,-50.97437931,-52.67069979,-52.9242818,-50.99581161,-52.93410676,-52.22900177,-52.49814331,-51.91988018,-52.65511593,-51.63385501,-52.1536032,-50.72704387,-50.608150702,-51.96350477,-51.73400444,-51.92405965,-51.14341756,-53.11488996,-53.05735611
"5","LAYING",5,14.47338493,-0.951819041,-5.612755391,-50.2285945,-50.40337189,-50.36525085,-25.14047108,49.654298,13.70952398,-49.17615748,-51.2701308,-50.80798554,4.410457086,0.3886796314,-0.15811492302,-51.13200883,-50.15714241,-51.24180716,-1.13846207021,-4.1532899,8.314507081,-50.93393274,-50.82622327,-49.9503564,-5.3099345,-2.1031240115,-3.683210375,-51.1379574,-51.15549292,-51.4633388,-50.27244991,-49.84786489,-50.27244991,-49.84786489,-50.9673452,-50.82881156,-49.24079163,-49.83097194,-51.29380997,-51.15611176,-50.37456728,-50.20181509,-50.80440168,-50.17760247,-50.59127771,-50.22587394,-51.09986217,-50.19708544,-51.12901609,-51.25251406,-50.24461416,-51.27905115,-50.74146957,-50.86898158,-50.08655332,-50.99670003,-50.81740565,-50.09189838,-50.03621917,-50.05131921,-50.82253175,-50.77186061,-50.34936758,-49.88167929,-51.20013734,-51.13859364
"6","LAYING",6,14.173421648,-0.5844162722,-7.587815511,-53.240817057,-52.704755104,-52.73731772,-27.17246309,54.52584741,10.0244594142,-50.60153969,-54.67223152,-52.90345209,5.491847145,-0.06528166694,0.1874258542,-55.08144012,-53.21944618,-54.69982515,-0.4537486525,-6.1114439581,10.20881732,-54.45655883,-53.78719212,-53.53108708,-6.342235224,-2.41739445296,-4.09131604,-53.55786167,-54.64184272,-54.69600708,-52.376094497,-51.14759602,-52.376094497,-51.14759602,-54.42077878,-54.16949026,-51.81186996,-52.49212633,-54.47180708,-54.32994909,-53.52951249,-52.65128711,-53.46856,-53.1503876633,-52.993539536,-52.66827066,-55.1231289,-53.35447495,-54.40227315,-55.21129209,-53.33589481,-54.92334983,-53.32006687,-53.68097803,-53.16028693,-54.84340378,-53.88581058,-53.98679614,-52.004044177,-51.60631685,-54.07336185,-54.23850185,-53.01875745,-52.93560874,-54.36066957,-54.46376531
"7","LAYING",7,13.00918809,-1.0629398878,-5.270773902,-48.69870772,-48.16565877,-49.55487503,-26.14634103,20.45910246,47.19196682,-47.539506045,-49.68826456,-50.01926719,5.038300894,1.3032457549,-0.68460037467,-51.01084332,-50.60084433,-50.59511934,-0.14697379481,-6.947496143,8.107841548,-49.92659477,-49.14374064,-49.67533431,-5.5091006612,-1.8662666143,-3.493889332,-50.63953609,-50.77715382,-51.42133767,-48.69238524,-47.166054684,-48.69238524,-47.166054684,-50.96661646,-50.30016848,-47.62126901,-47.77044787,-51.11645911,-50.50266717,-49.57806077,-48.9940856,-49.84780552,-48.41827019,-47.99173092,-49.57579361,-50.98043844,-50.57164574,-50.41529884,-51.14512912,-50.74607954,-50.70379575,-49.59159648,-49.7936508,-49.75907617,-50.04210923,-48.86584943,-49.86157345,-48.254797793,-47.3482080718,-50.33944548,-50.19867986,-48.9387974,-47.78241097,-50.65413143,-50.40895784
"8","LAYING",8,14.107731277,-1.14632136296,-5.521249743,-50.92422563,-50.48412264,-50.354538538,-21.92022195,31.85581148,38.87090312,-49.619152386,-51.73146197,-50.859158222,4.742965274,1.25981545934,-0.91378147326,-52.55566428,-52.73213141,-52.16872903,0.2890950517,-4.8134203484,7.462168598,-52.12101695,-51.41012683,-52.24984675,-5.748030449,-2.1045700731,-3.748265015,-52.37590018,-52.6060684,-53.330465,-50.50666623,-49.31551782,-50.50666623,-49.31551782,-52.54996444,-51.99954393,-49.90968082,-50.35342128,-52.83566233,-52.32757203,-51.49108245,-51.39809984,-50.99055376,-50.76676611,-50.286784876,-50.281910866,-52.54797219,-52.69738162,-51.95400138,-52.70183522,-52.87522761,-52.30975804,-51.72680985,-51.70020265,-52.24290691,-52.26370348,-51.31708943,-52.41628619,-50.343100858,-49.531930889,-51.93681403,-52.04471909,-51.00456333,-50.58649638,-52.29381308,-52.47683711
"9","LAYING",9,12.95977684,-1.0263410831,-5.377486072,-47.1166545,-45.81463882,-47.03536427,-29.01264174,-5.95770981,47.89365208,-46.09105313,-48.49972441,-48.56023451,4.403672382,0.5780866359,-0.35268389292,-48.23702351,-48.19983399,-47.92812275,-0.6816018074,-7.9451459915,5.0637505341,-47.11232549,-46.33092657,-48.07976852,-5.192333991,-1.3776128474,-2.847452375,-47.26645175,-48.10851211,-48.85380801,-46.54342188,-45.756340008,-46.54342188,-45.756340008,-48.16872746,-47.75134026,-45.35625499,-44.92789369,-48.22624095,-47.64007799,-47.3432747,-46.71832992,-47.29595003,-47.04905136,-45.64183754,-47.09855818,-48.21520325,-48.20414031,-47.79546075,-48.43006521,-48.3317068,-47.98573588,-46.51489605,-46.72898297,-47.99075046,-47.31945752,-46.15659683,-48.2843156,-46.33021476,-46.0964869197,-47.71602928,-47.75473561,-45.93026678,-45.17002907,-47.79031273,-47.61452351
"10","LAYING",10,16.2533733,-1.40908008,-6.795781257,-56.16045373,-54.89434952,-55.64934621,-26.27804478,-8.0792655,-1.8050542,-55.36285263,-56.06866705,-55.856647261,4.2812737403,0.91054183163,0.41567996004,-56.72443307,-56.08198602,-56.62288643,-1.1342443554,-4.46788881214,6.073787744,-55.77936559,-55.31229204,-56.37255465,-5.817878756,-2.2550279384,-3.426320494,-56.02223353,-56.06402034,-57.06905956,-55.49334554,-54.53749596,-55.49334554,-54.53749596,-56.62159724,-56.11830488,-54.38027793,-53.7933276,-56.30818924,-55.65871003,-56.2126841,-55.35182725,-55.92944902,-56.14214624,-54.881290599,-55.669192733,-56.78285079,-56.14627208,-56.41034835,-56.77645312,-56.15100015,-56.75777567,-55.3200469,-55.370862,-56.24583508,-55.94358485,-55.3003028,-56.56733023,-55.14919033,-54.76968853,-56.17654505,-55.9918981,-54.38617327,-54.15467629,-55.73665565,-55.72482678
